School Name	Number of Test Takers	Critical Reading Mean	Mathematics Mean	Writing Mean
Henry Street School for International Studies 	31	391	425	385
University Neighborhood High School 	60	394	419	387
East Side Community High School 	69	418	431	402
SATELLITE ACADEMY FORSYTH ST 	26	385	370	378
Lower East Side Preparatory High School 	154	314	532	314
"New Explorations into Sci, Tech and Math HS "	47	568	583	568
CASCADES HIGH SCHOOL 	35	411	401	401
BARD HIGH SCHOOL EARLY COLLEGE 	138	630	608	630
AMERICAN SIGN LANG ENG DUAL 	11	405	415	385
FOOD AND FNANCE HIGH SCHOOL 	50	422	412	407
HIGH SCHOOL FOR HIST AND COMM 	51	382	364	366
High School of Hospitality Management 	43	397	415	391
PACE HIGH SCHOOL 	71	424	448	423
Urban Assembly School of Design and Construction 	49	405	446	415
The Facing History School 	59	381	373	377
Urban Assembly Academy of Government and Law 	48	411	406	411
LOWER MANHATTAN ARTS ACADEMY 	35	409	381	412
The James Baldwin School 	45	421	419	394
Urban Assembly School of Business for Young Women 	52	401	409	391
GRAMERCY ARTS HIGH SCHOOL 	49	395	376	386
HIGH SCHOOL ENVRNMNTL STUDIES 	216	465	480	448
Institute for Collaborative Education 	42	484	478	472
Professional Performng Arts School 	69	495	465	499
Baruch College Campus High School 	96	523	583	528
New York City Laboratory School Collab Studies 	108	561	597	567
SCHOOL OF THE FUTURE 	79	475	488	466
NEW YORK CITY MUSEUM SCHOOL 	90	454	448	435
ELEANOR ROOSEVELT HIGH SCHOOL 	122	555	596	567
Millennium High School 	140	512	554	523
LANDMARK SCHOOL 	47	369	370	359
HIGH SCHOOL HLTH PROF HUMAN 	250	446	458	440
HIGH SCHOOL LEADERSHIP PUB SVC 	74	419	429	406
LEGACY SCH INTEGRATED STUDIES 	31	379	356	354
MANHATTAN VILLAGE ACADEMY 	90	465	479	472
Bayard Rustin High School Humanities 	136	387	394	379
VANGUARD HIGH SCHOOL 	54	367	395	373
MANHATTAN INTERNATIONAL HIGH SCHOOL 	31	418	463	415
WASHINGTON IRVING HIGH SCHOOL 	163	381	385	368
STUYVESANT HIGH SCHOOL 	804	674	735	678
HS of Economics And Finance 	147	451	503	453
UNITY HIGH SCHOOL 	31	371	369	368
TALENT UNLIMITED HIGH SCHOOL 	124	465	454	461
MURRY BERGTRAUM HIGH SCHOOL 	287	411	439	396
Jacqueline Kennedy Onassis High School 	88	420	424	398
NEW YORK CITY PUB SCH REP COMP 	32	415	405	397
MANHATTAN BRIDGE HIGH SCHOOL 	31	345	380	325
NEW DESIGN HIGH SCHOOL 	74	390	385	387
INDEPENDENCE HIGH SCHOOL 	16	404	419	395
